"Opened Date","File Number","Sales Rep","Client Name","Product Type","Prod Type","Primary Property Address","File Status ","Closed Date","Sent To External Accounting","Loan Amount","Sales Price"
"Feb 1, 2021","10204338","Scott & Angeline","Central Escrow Group, Inc","Loan: Title Only (Outside Escrow)","Loan","37 East Santa Anita Terrace, Arcadia, CA  91006","Closed","Nov 10, 2021","Feb 3, 2021","597000.00","0.00"
"May 19, 2022","10019201-2","In House - SoCal Orange","Wells Fargo Business Banking","Loan: Title Only (Outside Escrow)","Loan","1760 Walnut Street, Berkeley, CA  94709","Closed","May 19, 2022","May 19, 2022","800000.00","0.00"
"Jul 30, 2021","10030502-2","In House - SoCal Orange","Wells Fargo Business Banking/Commercial Lending","Loan: Title Only (Outside Escrow)","Loan","6600-6612 Koll Center Parkway, Pleasanton, CA  94566","Closed","Jul 30, 2021","May 13, 2022","1000000.00","0.00"
"Jan 22, 2021","10138214-2","Scott & Angeline","West One Capital Group","Loan:  Escrow Only (Outside Title)","Loan","5254 Rimwood Drive, San Jose, CA  95118-3042","Closed","Mar 19, 2021","","120210.00","0.00"
"Mar 4, 2021","10164922","Scott & Angeline","MC Funding, Inc.","Loan: Title and Escrow (N)","Loan","1531 West 179th Place, Gardena, CA  90248","Closed","May 8, 2021","","112000.00","0.00"
"Mar 4, 2021","10164922","Scott & Angeline","MC Funding, Inc.","Loan: Title and Escrow (N)","Loan","1531 West 179th Place, Gardena, CA  90248","Closed","May 8, 2021","Apr 27, 2021","112000.00","0.00"
"May 12, 2021","10183439","Team Meza","Empower Escrow","Loan: Title Only (Outside Escrow) (N)","Loan","16114 Firestone Lane, Chino Hills, CA  91709","Closed","May 21, 2021","","350000.00","0.00"
"May 12, 2021","10183439","Team Meza","Empower Escrow","Loan: Title Only (Outside Escrow) (N)","Loan","16114 Firestone Lane, Chino Hills, CA  91709","Closed","May 21, 2021","May 13, 2021","350000.00","0.00"
"Jan 28, 2021","10198995","Justin Nouri","Legions Capital Bank","Loan: Title Only (Outside Escrow)","Loan","2160 East Century Park, Unit 507, Los Angeles, CA  90067","Closed","May 20, 2021","May 12, 2021","618750.00","0.00"
"Feb 12, 2021","10199179","Scott & Angeline","C2 Financial Corporation","Loan: Title Only (Outside Escrow)","Loan","153 Rawson Creek Road, Bishop, CA  93514-7012","Cancelled","Aug 19, 2021","","124999.00","0.00"
"May 6, 2021","10199455","Kelly Corona","Rodex Mortgage","Loan: Title Only (Outside Escrow)","Loan","17611 Ludlow Street, Granada Hills, CA  91344","Policy Issued","","","661000.00","0.00"
"May 6, 2021","10199455","Kelly Corona","Rodex Mortgage","Loan: Title Only (Outside Escrow)","Loan","17611 Ludlow Street, Granada Hills, CA  91344","Policy Issued","","May 7, 2021","661000.00","0.00"
"Feb 19, 2021","10199498","Team Meza","New American Funding","Loan: Title Only (Outside Escrow)","Loan","1450 Monroe Circle, Corona, CA  92882","Closed","Mar 11, 2021","Feb 25, 2021","455000.00","0.00"
"Feb 22, 2021","10199564","Team Meza","New American Funding","Loan: Title Only (Outside Escrow)","Loan","12012 Pacific Road, Phelan, CA  92371","Closed","Mar 3, 2021","Feb 22, 2021","337810.00","0.00"
"Jan 26, 2021","10199662","Team Meza","Broker Solutions Inc dba New American funding","Loan: Title Only (Outside Escrow) (N)","Loan","8167 North Heights Drive, Kelseyville, CA  95451","Closed","Apr 6, 2021","","278000.00","0.00"
"Jan 26, 2021","10199903","Team Meza","New American Funding","Loan: Title Only (Outside Escrow)","Loan","29248 Fox Run Lane, Valley Center, CA  92082","Closed","Feb 6, 2021","Jan 29, 2021","421500.00","0.00"
"Jan 27, 2021","10200506","Team Meza","New American Funding","Loan: Title Only (Outside Escrow)","Loan","10626 Bellflower Street, Oak Hills, CA  92344","Closed","Feb 1, 2021","Jan 28, 2021","241750.00","0.00"
"Mar 3, 2021","10200720","Team Meza","New American Funding","Loan: Title Only (Outside Escrow)","Loan","1901 Crescent Oak, Irvine, CA  92618","Closed","Mar 29, 2021","","240000.00","0.00"
"Mar 3, 2021","10200720","Team Meza","New American Funding","Loan: Title Only (Outside Escrow)","Loan","1901 Crescent Oak, Irvine, CA  92618","Closed","Mar 29, 2021","Mar 3, 2021","240000.00","0.00"
"Feb 25, 2021","10201022","Team Meza","New American Funding","Loan: Title Only (Outside Escrow)","Loan","18562 Cobblestone Court, Yorba Linda, CA  92886","Closed","Mar 10, 2021","Feb 25, 2021","505000.00","0.00"
"Jan 21, 2021","10201029","Team Meza","New American Funding","Loan: Title Only (Outside Escrow)","Loan","270 Arbor Road, Menlo Park, CA  94025","Closed","Jan 28, 2021","","346000.00","0.00"
"Jan 7, 2021","10201038","Team Meza","New American Funding","Loan:  Title and Escrow","Loan","829 East 4th Street, Pomona, CA  91766","Closed","Feb 9, 2021","","236000.00","0.00"
"Jan 21, 2021","10201147","Team Meza","New American Funding","Loan: Title Only (Outside Escrow)","Loan","479 Thousand Pines Road, Crestline, CA  92325","Closed","Jul 31, 2021","","162000.00","0.00"
"Jan 7, 2021","10201491C-2","Team Meza","New American Funding","Loan:  Title and Escrow","Loan","3923 Arco Del Paso Lane, Sacramento, CA  95834","Cancelled","Jan 21, 2021","","255500.00","0.00"
"Jan 5, 2021","10201634","Team Meza","New American Funding","Loan:  Title and Escrow","Loan","672 South Melrose Street, Anaheim, CA  92805","Closed","Nov 30, 2021","","510400.00","0.00"
"Jan 14, 2021","10201693","Scott & Angeline","Central Escrow Group, Inc","Loan: Title Only (Outside Escrow)","Loan","26162 Roscommon Court, Lake Forest, CA  92630","Closed","Jan 20, 2021","Jan 14, 2021","445000.00","0.00"
"Feb 25, 2021","10201797","Team Meza","New American Funding","Loan: Title Only (Outside Escrow)","Loan","912 Thistlegate Road, Oak Park, CA  91377","Closed","Mar 10, 2021","","420000.00","0.00"
"Jan 7, 2021","10201993","Louis Morreale","Plaza Home Mortgage","Loan:  Title and Escrow","Loan","2217 North Tamy Lane, Santa Ana, CA  92706","Closed","Feb 27, 2021","Feb 18, 2021","561600.00","0.00"
"Jan 27, 2021","10202001","Team Meza","New American Funding","Loan: Title Only (Outside Escrow)","Loan","493 Pyramid Drive, Lake Arrowhead, CA  92352","Closed","May 18, 2021","Jan 28, 2021","416000.00","0.00"
"Jan 6, 2021","10202017","Team Meza","New American Funding","Loan:  Title and Escrow","Loan","7452 Conestoga Way, San Diego, CA  92120","Closed","Jan 21, 2021","Jan 15, 2021","305000.00","0.00"
"Feb 25, 2021","10202193","Team Meza","New American Funding","Loan: Title Only (Outside Escrow)","Loan","310 East Carlton Way, Tracy, CA  95376","Closed","Mar 11, 2021","","73200.00","0.00"
"Jan 22, 2021","10202256","Team Meza","New American Funding","Loan: Title Only (Outside Escrow)","Loan","10206 Yardley Court, Stockton, CA  95209","Closed","Jan 28, 2021","","383500.00","0.00"
"Feb 24, 2021","10202263","Team Meza","New American Funding","Loan: Title Only (Outside Escrow)","Loan","1945 North Sunwood Lane, Anaheim, CA  92807","Closed","Mar 10, 2021","Feb 25, 2021","334075.00","0.00"
"Feb 9, 2021","10202296","Team Meza","New American Funding","Loan: Title Only (Outside Escrow)","Loan","16952 Dominican Drive, San Diego, CA  92128","Closed","Feb 16, 2021","Feb 10, 2021","213000.00","0.00"
"Jan 22, 2021","10202497","Team Meza","New American Funding","Loan: Title Only (Outside Escrow)","Loan","27771 Paddleboat Court, Menifee, CA  92585","Closed","Jan 28, 2021","Jan 25, 2021","359800.00","0.00"
"Feb 2, 2021","10202733","Team Meza","New American Funding","Loan:  Title and Escrow","Loan","175 East Marshall Boulevard, San Bernardino, CA  92404","Closed","Oct 12, 2021","Feb 25, 2021","334096.00","0.00"
"Jul 30, 2021","10030502-2","In House - SoCal Orange","Wells Fargo Business Banking/Commercial Lending","Loan: Title Only (Outside Escrow)","Loan","6600-6612 Koll Center Parkway, Pleasanton, CA  94566","Closed","Jul 30, 2021","May 13, 2022","1500000.00","0.00"
"Jan 22, 2021","10138214-2","Scott & Angeline","West One Capital Group","Loan:  Escrow Only (Outside Title)","Loan","5254 Rimwood Drive, San Jose, CA  95118-3042","Closed","Mar 19, 2021","Feb 11, 2022","120210.00","0.00"
"Jan 28, 2021","10188569","Justin Nouri","Legions Capital Bank","Loan: Title Only (Outside Escrow)","Loan","17401 Collins Street (Encino Area), Los Angeles, CA  91316","Cancelled","Jun 15, 2021","","540000.00","0.00"
"Jun 9, 2021","10188582","Justin Nouri","Legions Capital Bank","Loan: Title Only (Outside Escrow)","Loan","1248 Rio Blanco Street, Montebello, CA  90640","Cancelled","Sep 8, 2021","","10.00","0.00"
"Jan 26, 2021","10198805","Team Meza","New American Funding","Loan: Title Only (Outside Escrow)","Loan","1408 Estrellita Court, Upland, CA  91786","Closed","Jan 29, 2021","","487726.00","0.00"
"Feb 9, 2021","10199226","Team Meza","New American Funding","Loan: Title Only (Outside Escrow)","Loan","3504 Cazador Street, Los Angeles, CA  90065","Closed","Feb 16, 2021","Feb 9, 2021","390000.00","0.00"
"Jan 27, 2021","10199432","Scott & Angeline","Broker Solutions Inc dba New American funding","Loan: Title Only (Outside Escrow) (N)","Loan","24406 Senna Drive, Wildomar, CA  92595","Closed","Jan 29, 2021","Jan 27, 2021","346000.00","0.00"
"Jan 26, 2021","10199662","Team Meza","Broker Solutions Inc dba New American funding","Loan: Title Only (Outside Escrow) (N)","Loan","8167 North Heights Drive, Kelseyville, CA  95451","Closed","Apr 6, 2021","Jan 28, 2021","278000.00","0.00"
"Jan 20, 2021","10199825","Team Meza","Broker Solutions Inc dba New American funding","Loan: Title Only (Outside Escrow) (N)","Loan","2419 Caswell Avenue, Ceres, CA  95307","Closed","Jan 26, 2021","Jan 21, 2021","170250.00","0.00"
"Jan 28, 2021","10199900","Team Meza","New American Funding","Loan: Title Only (Outside Escrow)","Loan","29862 Holsteiner, Menifee, CA  92584","Closed","Feb 3, 2021","","444150.00","0.00"
"Feb 9, 2021","10200174","Team Meza","New American Funding","Loan: Title Only (Outside Escrow)","Loan","81706 Angela Court, Indio, CA  92201","Closed","Feb 16, 2021","","226300.00","0.00"
"Feb 9, 2021","10200174","Team Meza","New American Funding","Loan: Title Only (Outside Escrow)","Loan","81706 Angela Court, Indio, CA  92201","Closed","Feb 16, 2021","Feb 10, 2021","226300.00","0.00"
"Mar 4, 2021","10200353","Team Meza","New American Funding","Loan: Title Only (Outside Escrow)","Loan","3652 Jupiter Avenue, Lompoc, CA  93436","Closed","Mar 31, 2021","Mar 5, 2021","296600.00","0.00"
"Jan 27, 2021","10200506","Team Meza","New American Funding","Loan: Title Only (Outside Escrow)","Loan","10626 Bellflower Street, Oak Hills, CA  92344","Closed","Feb 1, 2021","","241750.00","0.00"
"Jan 21, 2021","10200647","Team Meza","New American Funding","Loan: Title Only (Outside Escrow)","Loan","26353 Driftwood Lane, Helendale, CA  92342","Closed","Jan 26, 2021","Jan 22, 2021","255000.00","0.00"
"Apr 1, 2021","10200813","Scott & Angeline","Central Escrow Group, Inc","Loan: Title Only (Outside Escrow)","Loan","1832 Via Rancho Parkway, Escondido, CA  92029","Closed","Apr 24, 2021","Apr 2, 2021","536000.00","0.00"
"Feb 3, 2021","10200868","Team Meza","New American Funding","Loan: Title Only (Outside Escrow)","Loan","11362 Washington Place, Los Angeles, CA  90066","Closed","Feb 11, 2021","Feb 3, 2021","382000.00","0.00"
"Jan 14, 2021","10201146","Team Meza","New American Funding","Loan: Title Only (Outside Escrow)","Loan","10857 Wescott Avenue, Los Angeles, CA  91040","Closed","Jan 22, 2021","Jan 15, 2021","511670.00","0.00"
"Jan 21, 2021","10201147","Team Meza","New American Funding","Loan: Title Only (Outside Escrow)","Loan","479 Thousand Pines Road, Crestline, CA  92325","Closed","Jul 31, 2021","Jan 21, 2021","162000.00","0.00"
"Feb 22, 2021","10201219","Team Meza","New American Funding","Loan: Title Only (Outside Escrow)","Loan","2634 South Patton Avenue, San Pedro, CA  90731","Closed","Mar 10, 2021","","688000.00","0.00"
"Feb 22, 2021","10201219","Team Meza","New American Funding","Loan: Title Only (Outside Escrow)","Loan","2634 South Patton Avenue, San Pedro, CA  90731","Closed","Mar 10, 2021","Feb 25, 2021","688000.00","0.00"
"Jan 21, 2021","10201244","Team Meza","Broker Solutions Inc dba New American funding","Loan: Title Only (Outside Escrow) (N)","Loan","3852 Ross Avenue, San Jose, CA  95124","Closed","Jan 28, 2021","","510400.00","0.00"
"Jan 21, 2021","10201244","Team Meza","Broker Solutions Inc dba New American funding","Loan: Title Only (Outside Escrow) (N)","Loan","3852 Ross Avenue, San Jose, CA  95124","Closed","Jan 28, 2021","Jan 25, 2021","510400.00","0.00"
"Feb 10, 2021","10201297","Team Meza","New American Funding","Loan: Title Only (Outside Escrow)","Loan","3317 Oselot Way, Rancho Cordova, CA  95670","Closed","Feb 16, 2021","","333000.00","0.00"
"Mar 19, 2021","10201633","Team Meza","New American Funding","Loan: Title Only (Outside Escrow)","Loan","15000 Downey Avenue, Unit 340, Paramount, CA  90723","Closed","Apr 16, 2021","Mar 22, 2021","182300.00","0.00"
"Jan 5, 2021","10201634","Team Meza","New American Funding","Loan:  Title and Escrow","Loan","672 South Melrose Street, Anaheim, CA  92805","Closed","Nov 30, 2021","Feb 8, 2021","510400.00","0.00"
"Feb 11, 2021","10201720","Team Meza","New American Funding","Loan: Title Only (Outside Escrow)","Loan","6825 South Bonsallo Avenue, Los Angeles, CA  90044","Closed","Feb 22, 2021","Feb 17, 2021","420000.00","0.00"
"Jan 27, 2021","10201768","Team Meza","New American Funding","Loan: Title Only (Outside Escrow)","Loan","3496 East Janice Street, Long Beach, CA  90805","Closed","Feb 2, 2021","Jan 28, 2021","508000.00","0.00"
"Jan 7, 2021","10201993","Louis Morreale","Plaza Home Mortgage","Loan:  Title and Escrow","Loan","2217 North Tamy Lane, Santa Ana, CA  92706","Closed","Feb 27, 2021","","561600.00","0.00"
"Jan 27, 2021","10202001","Team Meza","New American Funding","Loan: Title Only (Outside Escrow)","Loan","493 Pyramid Drive, Lake Arrowhead, CA  92352","Closed","May 18, 2021","","416000.00","0.00"
"Jan 13, 2021","10202014","Team Meza","Broker Solutions Inc dba New American funding","Loan: Title and Escrow (N)","Loan","27190 Dix Hill Road, Sun City, CA  92585","Closed","Apr 6, 2021","","263850.00","0.00"
"Feb 25, 2021","10202114","Team Meza","New American Funding","Loan: Title Only (Outside Escrow)","Loan","191 Cliff Walk Drive, Vallejo, CA  94591","Closed","Apr 2, 2021","","407100.00","0.00"
"Feb 25, 2021","10202114","Team Meza","New American Funding","Loan: Title Only (Outside Escrow)","Loan","191 Cliff Walk Drive, Vallejo, CA  94591","Closed","Apr 2, 2021","Mar 8, 2021","407100.00","0.00"
"May 19, 2022","10019201-2","In House - SoCal Orange","Wells Fargo Business Banking","Loan: Title Only (Outside Escrow)","Loan","1760 Walnut Street, Berkeley, CA  94709","Closed","May 19, 2022","","800000.00","0.00"
"Aug 11, 2021","10098751-2","Team Meza","Green Forest Escrow","Loan: Title Only (Outside Escrow)","Loan","21356 South Alameda Street, Carson, CA  90810","Cancelled","Aug 12, 2021","","0.00","350000.00"
"Mar 3, 2021","10182865","Cibeli Tregembo","FC Consultants","Loan: Title and Escrow (N)","Loan","342 Solares Street, Camarillo, CA  93010","Closed","Apr 16, 2021","","523000.00","0.00"
"Feb 9, 2021","10190393","Tom Lowther","Vantage Point","Loan: Title Only (Outside Escrow) (N)","Loan","1838 Orizaba Avenue, Redondo Beach, CA  90277","Closed","Sep 30, 2021","Oct 15, 2021","251500.00","0.00"
"Feb 9, 2021","10190393","Tom Lowther","Vantage Point","Loan: Title Only (Outside Escrow) (N)","Loan","1838 Orizaba Avenue, Redondo Beach, CA  90277","Closed","Sep 30, 2021","Oct 15, 2021","251500.00","0.00"
"Jan 28, 2021","10195999","Justin Nouri","Legions Capital Bank","Loan: Title Only (Outside Escrow)","Loan","2160 Century Park East, Unit 2112, Los Angeles, CA  90067","Closed","Jun 9, 2021","","825000.00","0.00"
"Jan 28, 2021","10195999","Justin Nouri","Legions Capital Bank","Loan: Title Only (Outside Escrow)","Loan","2160 Century Park East, Unit 2112, Los Angeles, CA  90067","Closed","Jun 9, 2021","May 13, 2021","825000.00","0.00"
"Jan 11, 2021","10197533","Team Meza","New American Funding","Loan: Title Only (Outside Escrow)","Loan","1014 Jadestone Lane, Corona, CA  92882","Closed","Jan 23, 2021","Jan 15, 2021","167000.00","0.00"
"Jan 29, 2021","10197879","Team Meza","New American Funding","Loan: Title Only (Outside Escrow)","Loan","5790 Anna Court, Fontana, CA  92336","Closed","Feb 9, 2021","","442372.00","0.00"
"Jan 29, 2021","10197879","Team Meza","New American Funding","Loan: Title Only (Outside Escrow)","Loan","5790 Anna Court, Fontana, CA  92336","Closed","Feb 9, 2021","Feb 3, 2021","442372.00","0.00"
"Jan 26, 2021","10198805","Team Meza","New American Funding","Loan: Title Only (Outside Escrow)","Loan","1408 Estrellita Court, Upland, CA  91786","Closed","Jan 29, 2021","Jan 26, 2021","487726.00","0.00"
"Feb 19, 2021","10199498","Team Meza","New American Funding","Loan: Title Only (Outside Escrow)","Loan","1450 Monroe Circle, Corona, CA  92882","Closed","Mar 11, 2021","","455000.00","0.00"
"Feb 22, 2021","10199564","Team Meza","New American Funding","Loan: Title Only (Outside Escrow)","Loan","12012 Pacific Road, Phelan, CA  92371","Closed","Mar 3, 2021","","337810.00","0.00"
"Jan 28, 2021","10199817","Team Meza","Broker Solutions Inc dba New American funding","Loan: Title Only (Outside Escrow) (N)","Loan","3405 Ferndale Avenue, San Bernardino, CA  92404","Closed","Feb 5, 2021","","339000.00","0.00"
"Mar 4, 2021","10200353","Team Meza","New American Funding","Loan: Title Only (Outside Escrow)","Loan","3652 Jupiter Avenue, Lompoc, CA  93436","Closed","Mar 31, 2021","","296600.00","0.00"
"Jan 11, 2021","10200722","Team Meza","New American Funding","Loan: Title Only (Outside Escrow)","Loan","3733 Lime Avenue, Long Beach, CA  90807","Closed","Jan 21, 2021","","234500.00","0.00"
"Apr 1, 2021","10200813","Scott & Angeline","Central Escrow Group, Inc","Loan: Title Only (Outside Escrow)","Loan","1832 Via Rancho Parkway, Escondido, CA  92029","Closed","Apr 24, 2021","","536000.00","0.00"
"Feb 25, 2021","10201022","Team Meza","New American Funding","Loan: Title Only (Outside Escrow)","Loan","18562 Cobblestone Court, Yorba Linda, CA  92886","Closed","Mar 10, 2021","","505000.00","0.00"
"Jan 21, 2021","10201029","Team Meza","New American Funding","Loan: Title Only (Outside Escrow)","Loan","270 Arbor Road, Menlo Park, CA  94025","Closed","Jan 28, 2021","Jan 25, 2021","346000.00","0.00"
"Jan 6, 2021","10201070","Team Meza","New American Funding","Loan: Title Only (Outside Escrow)","Loan","2855 Knollwood Drive, Cameron Park, CA  95682","Closed","Jan 15, 2021","","507640.00","0.00"
"Jan 6, 2021","10201070","Team Meza","New American Funding","Loan: Title Only (Outside Escrow)","Loan","2855 Knollwood Drive, Cameron Park, CA  95682","Closed","Jan 15, 2021","Jan 8, 2021","507640.00","0.00"
"Jan 14, 2021","10201146","Team Meza","New American Funding","Loan: Title Only (Outside Escrow)","Loan","10857 Wescott Avenue, Los Angeles, CA  91040","Closed","Jan 22, 2021","","511670.00","0.00"
"Jan 25, 2021","10201225C-2","Team Meza","New American Funding","Loan: Title Only (Outside Escrow)","Loan","203 Valerie Street, Santa Maria, CA  93454","Open","","","315000.00","0.00"
"Jan 21, 2021","10201491","Team Meza","New American Funding","Loan: Title Only (Outside Escrow)","Loan","3923 Arco Del Paso Lane, Sacramento, CA  95834","Closed","Jan 27, 2021","","255500.00","0.00"
"Feb 11, 2021","10201720","Team Meza","New American Funding","Loan: Title Only (Outside Escrow)","Loan","6825 South Bonsallo Avenue, Los Angeles, CA  90044","Closed","Feb 22, 2021","","420000.00","0.00"
"Jan 27, 2021","10201768","Team Meza","New American Funding","Loan: Title Only (Outside Escrow)","Loan","3496 East Janice Street, Long Beach, CA  90805","Closed","Feb 2, 2021","","508000.00","0.00"
"Feb 25, 2021","10201797","Team Meza","New American Funding","Loan: Title Only (Outside Escrow)","Loan","912 Thistlegate Road, Oak Park, CA  91377","Closed","Mar 10, 2021","Feb 25, 2021","420000.00","0.00"
"Jan 6, 2021","10202017","Team Meza","New American Funding","Loan:  Title and Escrow","Loan","7452 Conestoga Way, San Diego, CA  92120","Closed","Jan 21, 2021","","305000.00","0.00"
"Feb 25, 2021","10202193","Team Meza","New American Funding","Loan: Title Only (Outside Escrow)","Loan","310 East Carlton Way, Tracy, CA  95376","Closed","Mar 11, 2021","Feb 25, 2021","73200.00","0.00"
"Jan 22, 2021","10202256","Team Meza","New American Funding","Loan: Title Only (Outside Escrow)","Loan","10206 Yardley Court, Stockton, CA  95209","Closed","Jan 28, 2021","Jan 25, 2021","383500.00","0.00"
